PI534040	22589859	1186116	218154	941052
PI534041	23101546	1322811	228425	1040806
PI534042	17854578	792104	108622	603787
PI534043	22457731	933432	166252	739611
PI534044	20943564	906209	132188	696173
PI534045	22862837	998373	161146	778867
PI534046	25666324	1290708	534889	1243214
PI534047	26532164	1189803	465784	1128262
PI534049	23277912	1047990	176736	824882
PI534050	22718620	1071042	180384	840591
PI534051	23353356	1219972	215490	963701
PI534052	23593824	838870	128862	648699
PI534053	25872149	1405826	566300	1339927
PI534054	26828487	1109167	484356	1086998
PI534055	21856200	1442162	252094	1135540
PI534057	20310403	1211172	168506	923892
PI534058	22497627	1294612	206075	1010003
PI534059	21172488	1191679	164147	910433
PI534060	13820679	721970	95530	550087
PI534061	19126296	865638	126607	665967
PI534062	17030710	1185635	160316	899596
PI534063	22850596	989792	159461	769482
PI534065	21337535	1472205	239048	1147166
PI534066	22048382	1447887	226558	1122721
PI534067	21456033	1436908	232041	1118658
PI534069	21805565	1421519	233224	1111348
PI534070	25779798	1393668	472754	1268282
PI534072	22039844	1292399	198812	1000654
PI534073	23611004	1073596	175928	840841
PI534074	12690621	661088	91319	504828
PI534075	25281743	1470819	577134	1390773
PI534076	12219178	658796	90642	501708
PI534077	21609607	1354885	214745	1051350
PI534078	22029248	1485168	237142	1156634
PI534079	25071438	1459194	628536	1421445
PI534080	21717292	1391759	217795	1082795
PI534081	14183200	746814	106537	571761
PI534082	22161339	1416047	235458	1106220
PI534083	17714158	975686	135074	744052
PI534084	20453064	1189468	290724	994345
PI534085	21430997	1305371	206357	1014584
PI534086	16583354	908701	121495	689259
PI534087	21986721	1260500	389113	1107312
PI534088	25803164	1466730	542542	1368463
PI534089	21223569	1109529	151361	846106
PI534090	22350718	1337048	223835	1047337
PI534091	22146476	1279686	206075	995412
PI534092	24825203	1492170	756400	1527852
PI534094	19049995	1021871	144587	781289
PI534096	23052411	2324973	901020	2167491
PI534097	25594632	1369792	588281	1324250
PI534098	22300202	1167428	169843	898433
PI534099	26270387	1162744	520903	1149302
PI534100	24454050	853056	138328	664584
PI534101	21114270	1004290	148854	772729
PI534102	23450949	920955	144352	711663
PI534103	21245524	843412	128067	651226
PI534105	26659155	1107704	413058	1032724
PI534106	18842797	957594	129300	728147
PI534107	18831836	652976	94576	500080
PI534108	21322090	819569	121329	631581
PI534109	23495420	1102821	186148	863785
PI534110	10962985	382258	58812	296066
PI534111	22971552	987174	153835	768370
PI534112	21722641	900567	129340	691866
PI534113	23836481	959394	154873	748719
PI534114	26021662	1285425	518403	1226166
PI534115	26633279	1085644	493246	1075843
PI534116	23741701	1888302	723973	1767982
PI534117	25286845	1633968	663542	1557440
PI534118	22078969	1515014	246917	1178227
PI534119	20744598	1137357	185354	886363
PI534120	21463011	1521205	240426	1178205
PI534121	16743495	961044	134803	734181
PI534122	14903688	1078531	138505	814208
PI534123	19815043	1245780	171824	947610
PI534124	21462208	1631087	272060	1274593
PI534126_1	19470348	1492909	206010	1136054
PI534126_2	20450996	1632161	240571	1253305
PI534127	21035430	1575366	241704	1216144
PI534128	24024350	1744712	683188	1640963
PI534130	18297644	990706	134020	752758
PI534131	20499534	1368954	189428	1043201
PI534132	21392249	1269447	190222	977919
PI534133	24254824	1692284	616322	1562609
PI534134	20696418	1639760	243438	1261941
PI534135	24861687	1681533	594519	1538913
PI534136	21698724	1549591	261962	1216141
PI534137	24395777	1641144	581115	1499043
PI534138	25933226	1261914	522020	1213455
PI534139	25635099	1517396	538904	1388999
PI534140	21617016	1033204	169864	810169
PI534141	21996116	1179071	187428	914342
PI534142	23351551	1068250	171809	832417
PI534144	20946556	1220650	184139	938896
PI534145	20858017	1412723	267563	1124862
PI534146	22826710	656361	103907	510457
PI534147	17769255	1065348	139298	806740
PI534148	20830670	1484005	236269	1150818
PI534149	19334010	1473181	212817	1129031
PI534150	20746741	1035254	151153	795352
PI534151	21480939	1555918	248921	1211077
PI534152	10363046	650611	96142	499117
PI534153	22629735	1273399	207217	994050
PI534154	23760255	1038434	179331	822375
PI534155	24515010	1644113	757611	1634517
PI534156	20720885	1506805	232981	1166288
PI534157	22669583	835058	128157	645321
PI534158	21916277	1238521	222126	980359
PI534159	20140968	1422501	203065	1086755
PI534160	23202149	1040703	157575	804052
PI534162	20981729	1483729	224029	1145773
PI534163	26192242	1237873	560734	1224216
PI534164	21845983	1335256	204321	1034144
PI534165	21752275	1004231	155187	778304
PI534166	22098169	1452026	231766	1131929
PI534167	24454727	1589484	618227	1496266
PI540816	25924337	1342013	483411	1237738
PI542406	24752699	1536990	630682	1471150
PI542718	24613219	1703786	534315	1512739
PI548797	25844568	1310297	577873	1280876
PI552856	27640048	705370	272845	663967
PI552861	28218466	719585	313828	700149
PI561071	25655789	1310757	505918	1233604
PI561072	26479226	1066977	376223	979436
PI561073	25555971	1310973	599523	1291632
PI562730	23522492	2010188	727738	1850355
PI564163	30413534	1189	84642	57178
PI564164	25855189	1134786	668142	1225102
PI564165	25933229	1221328	518312	1183714
PI565121	27024415	940635	349937	879072
PI566819	26854377	977007	392612	922548
PI576130	22048272	945894	137669	726147
PI576328	22710142	1441680	243701	1130118
PI576329	24290519	797654	121636	613751
PI576330	21982392	1286117	345955	1095983
PI576332	26579787	1160734	488809	1117624
PI576333	26655112	1044234	426441	997489
PI576334	21972134	1397045	236892	1097884
PI576335	22572333	1100538	277977	922034
PI576337	20606869	1252730	180350	959561
PI576338	20922596	831919	124363	638541
PI576339	26617328	1097862	420613	1025728
PI576340	26714347	1058044	401040	986658
PI576341	22196008	1108063	162731	853301
PI576342	21894902	1355187	214117	1049549
PI576343	21186234	1047133	150612	800309
PI576345	27398656	952825	331041	869348
PI576346	21917314	1241854	186217	960202
PI576347	20674870	1379884	208239	1060062
PI576348	19236882	1846756	284434	1422471
PI576349	22623365	2170409	904634	2078786
PI576350	24630654	1082284	2255903	2248018
